Search;Name;Group;Org;
Коктейль молочный пастеризованный; коктейль; кок., сырок;Вит;    
Сырок; сырок; кок., сырок;Вит;    
Молоко питьевое пастеризованное; молоко; молоко;Вит;
"Молоко ""Вкусное""  м\.д\.ж\."; молоко; молоко;Вит;    
Молоко питьевое топленое; молоко; молоко;Вит;
Сливки; сливки; молоко;Вит;
Кефир; кефир; кисломол.;Вит;
Ацидофилин; ацидофилин; кисломол.;Вит;
Ряженка; ряженка; кисломол.;Вит;
Варенец; варенец; кисломол.;Вит;
Закваска; закваска; кисломол.;Вит;
Сметана; сметана; кисломол.;Вит;
Йогурт; йогурт; кисломол.;Вит;
Снежок; снежок; кисломол.;Вит;
Масло; масло; кисломол.;Вит;
Творог.+под вакуумом; творог; кисломол.;Вит;
Творог.+рэкэп; творог; кисломол.;Вит;
Творог.+фас. брикет; творог; кисломол.;Вит;
Творог зерненый; творог; творог;Нов;
Творог зернёный; творог; творог;Нов;
Творог со сливками; творог; творог;Нов;
Сыр.+Массовая доля жира в сухом веществе; сыр; сыр;Шум;
Сыр.+Массовая доля жира в сухом существе; сыр; сыр;Шум;
Сыр.+с массовой долей жира в сухом веществе; сыр; сыр;Шум;
Сыворотка;сыворотка;сыворотка;Вит;
